MARZO,B. PASIVO,14. Provision a,2110-0000-0000-00  Cuentas por pagar a corto plazo,2170-0000-0000-00  Provisión a Corto Plazo,2171-0001-0000-00,-2403495.38,-1960638.62,14967187.37,-19331321.37
JUNIO,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-2011-00,0,-949396.18,0,-949396.18
SEPTIEMBRE,E. EGRESOS,"27. Transferencias, ayudas y subsidios",5240-0000-0000-00  Ayudas Sociales,5243-0000-0000-00  Ayudas Sociales a Instituciones sin fines de lucro,5243-4451-1301-06,316778800,-750000,0,316028800
MARZO,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-0402-00,0,-623729.68,729510.48,-1353240.16
SEPTIEMBRE,E. EGRESOS,26. Servicios Generales,5130-0000-0000-00  Servicios Generales,5138-0000-0000-00  Servicios Oficiales,5138-3831-2103-06,12951649.73,-473401.82,0,12478247.91
NOVIEMBRE,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-2200-00,0,-170520,0,-170520
SEPTIEMBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1714-1301-06,2079277.74,-73997.56,0,2005280.18
MARZO,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-1601-00,0,-71647.4,0,-71647.4
NOVIEMBRE,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-0111-00,0,-58000,0,-58000
NOVIEMBRE,B. PASIVO,13. Remuneraciones por pagar,2110-0000-0000-00  Cuentas por pagar a corto plazo,2111-0000-0000-00  Servicios personales a Pagar a Corto Plazo,2111-2031-0000-00,-94000,-48000,0,-142000
AGOSTO,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1714-2401-06,764849.69,-47720.44,0,717129.25
JUNIO,B. PASIVO,15. Otros pasivos a corto plazo,2110-0000-0000-00  Cuentas por pagar a corto plazo,2119-0000-0000-00  Otras cuentas por Pagar a Corto Plazo,2119-4109-0000-00,-121160,-41180,0,-162340
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1503-06,712328.94,-39573.83,0,672755.11
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1504-06,712328.94,-39573.83,0,672755.11
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1505-06,712328.94,-39573.83,0,672755.11
MARZO,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-0512-00,0,-34800,0,-34800
JUNIO,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-0512-00,0,-34800,0,-34800
NOVIEMBRE,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-0512-00,0,-34800,0,-34800
OCTUBRE,A. ACTIVO,3. Deudores Diversos,1120-0000-0000-00  Derechos a recibir Efectivo o Equivalentes,1125-0000-0000-00  Deudores por Anticipos de la Tesorería a Corto Plazo,1125-2012-0036-00,0,-34500,-34500,0
AGOSTO,B. PASIVO,15. Otros pasivos a corto plazo,2110-0000-0000-00  Cuentas por pagar a corto plazo,2119-0000-0000-00  Otras cuentas por Pagar a Corto Plazo,2119-4109-0000-00,-222210,-33400,0,-255610
JUNIO,A. ACTIVO,3. Deudores Diversos,1120-0000-0000-00  Derechos a recibir Efectivo o Equivalentes,1125-0000-0000-00  Deudores por Anticipos de la Tesorería a Corto Plazo,1125-1002-0000-00,0,-29740,0,-29740
MARZO,B. PASIVO,15. Otros pasivos a corto plazo,2110-0000-0000-00  Cuentas por pagar a corto plazo,2119-0000-0000-00  Otras cuentas por Pagar a Corto Plazo,2119-4109-0000-00,-39760,-27890,0,-67650
MARZO,B. PASIVO,13. Remuneraciones por pagar,2110-0000-0000-00  Cuentas por pagar a corto plazo,2111-0000-0000-00  Servicios personales a Pagar a Corto Plazo,2111-2031-0000-00,-61000,-27000,0,-88000
ABRIL,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-0319-00,0,-24940,0,-24940
JUNIO,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-0107-00,0,-22661.76,0,-22661.76
NOVIEMBRE,E. EGRESOS,26. Servicios Generales,5130-0000-0000-00  Servicios Generales,"5135-0000-0000-00  Servicios de Instalación, Reparación, Mantenimiento y Conservación",5135-3531-2102-06,433886.4208,-20281.3556,0,413605.0652
NOVIEMBRE,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-1904-00,0,-20237,20237,-40474
JULIO,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1545-2106-06,37974.8656,-20100.5664,0,17874.2992
JUNIO,A. ACTIVO,3. Deudores Diversos,1120-0000-0000-00  Derechos a recibir Efectivo o Equivalentes,1123-0000-0000-00  Deudores Diversos por Cobrar a Corto Plazo,1123-3001-0003-00,40000,-20000,0,20000
NOVIEMBRE,B. PASIVO,15. Otros pasivos a corto plazo,2110-0000-0000-00  Cuentas por pagar a corto plazo,2119-0000-0000-00  Otras cuentas por Pagar a Corto Plazo,2119-4104-0000-00,-6947.92,-16674.96,0,-23622.88
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1316-06,281511.84,-16559.52,0,264952.32
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1307-06,298071.36,-16559.52,0,281511.84
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1309-06,298071.36,-16559.52,0,281511.84
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1319-06,298071.36,-16559.52,0,281511.84
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1321-06,298071.36,-16559.52,0,281511.84
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1323-06,298071.36,-16559.52,0,281511.84
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1324-06,298071.36,-16559.52,0,281511.84
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1327-06,298071.36,-16559.52,0,281511.84
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1331-06,298071.36,-16559.52,0,281511.84
OCTUBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1591-1401-06,298071.36,-16559.52,0,281511.84
